id,简介,小区,户型,面积,关注人数,观看次数,发布时间,房价,单价/平,城区,经度,纬度
134,冠城名敦道 西南向大开间  光明小学 地铁7号线,冠城名敦道 , 1室0厅 , 83.36 ,245,54, 8个月以前发布,565.0,67779,东城,116.453086,39.898397
135,富贵园一区 3室2厅 1580万,富贵园一区 , 3室2厅 , 141.54 ,56,19, 1个月以前发布,1580.0,111630,东城,116.440069,39.902423
136,林业局央产房 提前联系 随时可看 产权清晰 随时可签约,和平里七区 , 3室1厅 , 88.67 ,44,17, 1个月以前发布,931.0,104997,东城,116.427853,39.966824
137,安定门宝钞苑社区 电梯直达南北三居室 卫生间带窗户,宝钞苑 , 3室2厅 , 197 ,80,19, 1个月以前发布,1960.0,99493,东城,116.405364,39.954234
138,东西通透两居室  配套齐全 满五年 税费少  采光好,朗家胡同13号院 , 2室1厅 , 54.5 ,15,7, 1个月以前发布,600.0,110092,东城,116.408184,39.953334
139,东环居苑正规南向一居室+户型方正+精装修+采光充足,东环居苑 , 1室1厅 , 62.35 ,51,15, 1个月以前发布,620.0,99439,东城,116.45208,39.904622
140,海运仓小区 板楼南北通透2居 优质2居中间楼层  ,海运仓小区 , 2室1厅 , 64.82 ,278,34, 1个月以前发布,700.0,107992,东城,116.435055,39.941656
141,世纪大厦 2室1厅 510万,世纪大厦 , 2室1厅 , 100.38 ,70,14, 1个月以前发布,510.0,50807,东城,116.417107,39.925266
142,和平新城 户型好 不临街 有电梯,和平新城一期 , 2室1厅 , 122.76 ,25,16, 1个月以前发布,1350.0,109971,东城,116.432835,39.957774
143,东城区 永合馨苑 南北通透两居室 诚心出售 只有契税,永合馨苑 , 2室1厅 , 118 ,36,4, 29天以前发布,699.0,59238,东城,116.403631,39.869863
144,安化南里 2室1厅 860万,安化南里 , 2室1厅 , 81.44 ,12,1, 24天以前发布,860.0,105600,东城,116.441521,39.895226
145,中海紫御东北向一居室 高层开发商精装修可观花园,中海紫御公馆 , 1室2厅 , 61.48 ,68,3, 27天以前发布,630.0,102473,东城,116.399108,39.876842
146,东城区 甘水桥小区 精装修 双东向 两居室 ,甘水桥 , 2室1厅 , 58.79 ,55,1, 28天以前发布,568.0,96616,东城,116.415072,39.968084
147,东城区 二环里 左安溪园  4室2厅3卫,左安溪园 , 4室2厅 , 258.1 ,61,5, 2个月以前发布,2300.0,89113,东城,116.444673,39.881316
148,国瑞城西区 2室2厅 1180万,国瑞城西区 , 2室2厅 , 147 ,57,23, 7个月以前发布,1180.0,80273,东城,116.425856,39.90406
149,金鱼池南北通透复式四居 纵览天坛 视野开阔 诚心出售,金鱼池西区 , 4室2厅 , 111.22 ,53,4, 1个月以前发布,910.0,81820,东城,116.413838,39.895714
150,左安浦园 2室1厅 695万,左安浦园 , 2室1厅 , 92.23 ,114,25, 1个月以前发布,695.0,75356,东城,116.444673,39.880008
151,国瑞城正规两居室，户型方正，朝向东,国瑞城中区 , 2室1厅 , 69.96 ,107,22, 1个月以前发布,710.0,101487,东城,116.429352,39.904538
152,幸福家园满五年住房 精装修 对天坛祈年殿 视野开阔,幸福家园三期 , 3室1厅 , 129.13 ,57,21, 2个月以前发布,1420.0,109967,东城,116.437705,39.898038
153,崇文门西大街 视野开阔 2居室，有钥匙,崇文门西大街 , 2室1厅 , 53.46 ,8,2, 16天以前发布,540.0,101011,东城,116.420117,39.907532
154,金世纪嘉园   一居室   精装修  ,金世纪嘉园 , 1室1厅 , 65.6 ,21,6, 21天以前发布,660.0,100610,东城,116.4515,39.904606
155,砖角楼北里 2室1厅 398万,砖角楼北里 , 2室1厅 , 47.16 ,39,6, 18天以前发布,398.0,84394,东城,116.43581,39.962757
156,安定门  三秀涵雅  商品房  全南精装2居室  诚意出售,三秀涵雅 , 2室1厅 , 97.08 ,28,10, 19天以前发布,1030.0,106099,东城,116.41305,39.963793
157,小黄庄 2室1厅 395万,小黄庄 , 2室1厅 , 46.88 ,164,9, 23天以前发布,395.0,84258,东城,116.41592,39.969527
158,藏经馆胡同15号院，简装朝南一居室。,藏经馆胡同15号院 , 1室1厅 , 35.68 ,24,6, 17天以前发布,480.0,134530,东城,116.404392,39.948535
159,东城区 城市亮点 朝西一居室 47.11平米 已改小两居,城市亮点 , 1室1厅 , 47.11 ,42,9, 16天以前发布,420.0,89154,东城,116.408381,39.874173
160,史家小学，商品房满五年家庭名下只有一个房子，大两居,朝阳门南小街 , 2室1厅 , 69.82 ,25,6, 28天以前发布,850.0,121742,东城,116.433451,39.923705
161,东中街 方正三居室 歌剧院家属楼,东中街 , 3室1厅 , 68.81 ,26,2, 13天以前发布,720.0,104636,东城,116.443175,39.941889
162,朝南一居无遮挡   满五年税少   业主诚售,新裕家园 , 1室1厅 , 78.42 ,39,4, 13天以前发布,850.0,108391,东城,116.429768,39.898926
163,海晟国际公寓 1室0厅 539万,海晟国际公寓 , 1室0厅 , 47 ,13,3, 9天以前发布,539.0,114681,东城,116.448623,39.945062
164,青年湖北里 2室1厅 510万,青年湖北里 , 2室1厅 , 50.35 ,53,58, 24天以前发布,510.0,101291,东城,116.411359,39.964549
165,金鱼池精装东西复式 满五年 拎包入住,金鱼池中区 , 4室3厅 , 136.7 ,148,61, 9个月以前发布,960.0,70227,东城,116.415431,39.896044
166,左安漪园  顶层复式 北向可看龙潭湖 南侧正对小区花园,左安漪园 , 5室2厅 , 178.26 ,21,3, 2个月以前发布,2000.0,112196,东城,116.4471,39.879796
167, 全南向复式！13米采光面！270度视野涵盖CBD商务圈！,海晟名苑 , 3室2厅 , 295.56 ,32,1, 1个月以前发布,3600.0,121803,东城,116.447783,39.94387
168,东城区小区 已购公房住宅 满五年 诚心出售,安乐林二条 , 2室1厅 , 57.84 ,422,30, 2个月以前发布,398.0,68811,东城,116.41279,39.868416
169,东城区2005年小区满五年朝南正规一居室楼层好,景泰西里西区 , 1室1厅 , 60.29 ,112,24, 3个月以前发布,440.0,72981,东城,116.414356,39.869475
170,东四十条甲34号院低楼层两居，东南向,东四十条甲34号院 , 2室1厅 , 59.16 ,272,28, 1个月以前发布,550.0,92969,东城,116.433198,39.939133
171,金世纪嘉园 3室1厅 865万,金世纪嘉园 , 3室1厅 , 109.44 ,235,60, 4个月以前发布,865.0,79039,东城,116.4515,39.904606
172,南二环边 东城区永铁苑 业主诚心出售,永铁苑 , 2室1厅 , 74.4 ,177,32, 2个月以前发布,535.0,71909,东城,116.400766,39.875202
173,东单 灯市口赵堂子胡同 中间楼层 精装修一居室 诚售！,赵堂子胡同 , 1室1厅 , 46.79 ,114,21, 1个月以前发布,450.0,96175,东城,116.434565,39.919951
