id,简介,小区,户型,面积,关注人数,观看次数,发布时间,房价,单价/平,城区,经纬度
15,东城区 满五年 交通便利 南北通透 诚心出售,西革新里110号院 , 2室1厅 , 61.4平米 ,333人关注 , 共76次带看 , 3个月以前发布,400,单价65147元/平米,东城,"116.396844,39.872512"
16,小羊宜宾胡同 4室1厅 910万,小羊宜宾胡同 , 4室1厅 , 93.81平米 ,73人关注 , 共61次带看 , 1个月以前发布,910,单价97005元/平米,东城,"116.437281,39.918733"
17,东城 东直门外三居  公房满五年 有钥匙,东直门外斜街 , 3室1厅 , 65.42平米 ,175人关注 , 共46次带看 , 1个月以前发布,520,单价79487元/平米,东城,"116.446972,39.950006"
18,南北两居室，板厂小学   看房随时   带车位,夕照寺西里 , 2室1厅 , 54.19平米 ,194人关注 , 共61次带看 , 3个月以前发布,520,单价95959元/平米,东城,"116.446244,39.897173"
19,都市馨园三居室    南北通透    商品房  前后不临街,兴隆都市馨园 , 3室2厅 , 130.7平米 ,315人关注 , 共63次带看 , 4个月以前发布,980,单价74981元/平米,东城,"116.420099,39.901616"
20,什锦花园 精装南北通透两居室 明厨明卫 户型好 视野好,什锦花园胡同21号院 , 2室1厅 , 48平米 ,75人关注 , 共55次带看 , 1个月以前发布,650,单价135417元/平米,东城,"116.421058,39.93627"
21,水上华城东西通透全明格局观景两居阳台不算面积,水上华城 , 2室2厅 , 113平米 ,24人关注 , 共24次带看 , 27天以前发布,1160,单价102655元/平米,东城,"116.448783,39.894213"
22,崇文小学新景家园东西通透三居诚意出售,新景家园东区 , 3室1厅 , 92.28平米 ,55人关注 , 共28次带看 , 23天以前发布,960,单价104032元/平米,东城,"116.432142,39.902354"
23,天天家园 2室1厅 939万,天天家园 , 2室1厅 , 125.02平米 ,326人关注 , 共115次带看 , 4个月以前发布,939,单价75108元/平米,东城,"116.411885,39.87098"
24,东北两居，整个国瑞城仅有14套，有钥匙随时看房。,国瑞城中区 , 2室2厅 , 91.13平米 ,12人关注 , 共20次带看 , 12天以前发布,900,单价98761元/平米,东城,"116.429352,39.904538"
25,什锦花园胡同21号院 1室0厅 460万,什锦花园胡同21号院 , 1室0厅 , 34.6平米 ,50人关注 , 共26次带看 , 11天以前发布,460,单价132948元/平米,东城,"116.421058,39.93627"
26,满五年家庭就此一套房产 电梯房管理好 单独管理,上龙西里 , 3室1厅 , 80.37平米 ,42人关注 , 共33次带看 , 7天以前发布,750,单价93319元/平米,东城,"116.412788,39.958761"
27,安定门  朝西向大两居室  楼龄新  满五年,西营房 , 2室1厅 , 85.1平米 ,257人关注 , 共90次带看 , 4个月以前发布,730,单价85782元/平米,东城,"116.409688,39.958188"
28,满五年家庭名下只有一套住房，有电梯,东直门内北小街16号 , 2室2厅 , 89.74平米 ,50人关注 , 共19次带看 , 25天以前发布,860,单价95833元/平米,东城,"116.432396,39.951803"
29,花市枣苑商品房独立封闭小区带大型花园全南两居室,花市枣苑二期 , 2室1厅 , 115平米 ,30人关注 , 共54次带看 , 2个月以前发布,1190,单价103479元/平米,东城,"116.435751,39.902151"
30,商品一居 正对花园 采光充足 视野开阔 业主诚售,新景家园东区 , 1室1厅 , 59.5平米 ,70人关注 , 共56次带看 , 1个月以前发布,660,单价110925元/平米,东城,"116.432142,39.902354"
31,花市枣苑二期两居两卫，满五年无个税，有钥匙,花市枣苑二期 , 2室1厅 , 121.87平米 ,6人关注 , 共22次带看 , 2个月以前发布,1100,单价90261元/平米,东城,"116.435751,39.902151"
32,朝阳门内大街 2室1厅 560万,朝阳门内大街 , 2室1厅 , 69.33平米 ,79人关注 , 共29次带看 , 1个月以前发布,560,单价80774元/平米,东城,"116.435758,39.930641"
33,安定门 04年商品房 满五年唯壹 有钥匙 业主诚售,中景濠庭 , 1室1厅 , 74.21平米 ,38人关注 , 共87次带看 , 1个月以前发布,630,单价84895元/平米,东城,"116.405688,39.957686"
34,东花市北里西区 1室1厅 455万,东花市北里西区 , 1室1厅 , 49.71平米 ,383人关注 , 共86次带看 , 11个月以前发布,455,单价91531元/平米,东城,"116.435236,39.90518"
35,新景家园东区 2室1厅 830万,新景家园东区 , 2室1厅 , 80.46平米 ,54人关注 , 共38次带看 , 16天以前发布,830,单价103157元/平米,东城,"116.432142,39.902354"
36,青年湖东里 2室1厅 720万,青年湖东里 , 2室1厅 , 63.79平米 ,100人关注 , 共53次带看 , 6个月以前发布,720,单价112871元/平米,东城,"116.413053,39.962564"
37,小黄庄一区 98年建成 双南向 采光好 ,小黄庄一区 , 1室1厅 , 95.28平米 ,22人关注 , 共47次带看 , 11天以前发布,950,单价99707元/平米,东城,"116.416187,39.969551"
38,文津世家 3室2厅 1800万,文津世家 , 3室2厅 , 160平米 ,73人关注 , 共8次带看 , 25天以前发布,1800,单价112500元/平米,东城,"116.420268,39.949318"
39,歌剧院家属楼，双南向两居室，采光好。,东中街 , 2室1厅 , 62.56平米 ,17人关注 , 共17次带看 , 13天以前发布,690,单价110295元/平米,东城,"116.443175,39.941889"
40,北官厅胡同2号院 1室1厅 540万,北官厅胡同2号院 , 1室1厅 , 41.63平米 ,38人关注 , 共17次带看 , 12天以前发布,540,单价129715元/平米,东城,"116.434147,39.953592"
41,海晟国际公寓 1室0厅 530万,海晟国际公寓 , 1室0厅 , 46.48平米 ,27人关注 , 共13次带看 , 11天以前发布,530,单价114028元/平米,东城,"116.448623,39.945062"
42,东直门内北小街8号院 2室1厅 850万,东直门内北小街8号院 , 2室1厅 , 83.87平米 ,28人关注 , 共41次带看 , 1个月以前发布,850,单价101348元/平米,东城,"116.432388,39.95399"
43,花市小学 本家润园三期 高楼层 不临街 满五年,本家润园三期 , 2室1厅 , 64.54平米 ,58人关注 , 共51次带看 , 1个月以前发布,610,单价94516元/平米,东城,"116.44366,39.903303"
44,琉璃井东街  南北两居室  户型方正 无遮挡,琉璃井东街 , 2室1厅 , 57.24平米 ,106人关注 , 共30次带看 , 1个月以前发布,450,单价78617元/平米,东城,"116.41658,39.87503"
45,东城天天家园两居 中间层电梯直达 视野好,天天家园 , 2室1厅 , 106.6平米 ,107人关注 , 共13次带看 , 20天以前发布,650,单价60976元/平米,东城,"116.411885,39.87098"
46,东直门内大街 南向一居室 楼层高 视野开阔 阳光充足 ,东直门内大街 , 1室1厅 , 60.01平米 ,82人关注 , 共6次带看 , 23天以前发布,660,单价109982元/平米,东城,"116.435511,39.946194"
47,前门东大街 南北通透三居 户型方正 无浪费 采光好,前门东大街 , 3室0厅 , 70平米 ,125人关注 , 共16次带看 , 30天以前发布,605,单价86429元/平米,东城,"116.416214,39.906904"
48,中间楼层，近协和医院，南北两居室，东单，灯市口,西总布胡同55号院 , 2室1厅 , 54.86平米 ,70人关注 , 共19次带看 , 21天以前发布,585,单价106636元/平米,东城,"116.426157,39.918525"
49,培新街乙5号院 东西通透两居 精装修 税费低,培新街乙5号院 , 2室1厅 , 69.03平米 ,24人关注 , 共12次带看 , 17天以前发布,750,单价108649元/平米,东城,"116.439371,39.896367"
50,东直门民安小区南北通透三居室出售无遮挡随时签约,民安小区东直门内北小街 , 3室1厅 , 97.14平米 ,83人关注 , 共13次带看 , 19天以前发布,1150,单价118386元/平米,东城,"116.432862,39.948968"
51,法华南里 1室1厅 440万,法华南里 , 1室1厅 , 42.91平米 ,78人关注 , 共14次带看 , 26天以前发布,440,单价102541元/平米,东城,"116.434144,39.892211"
52,东城北二环 商品房小区 人车分流 高层两居室无遮挡 ,巷上嘉园 , 2室1厅 , 103.37平米 ,28人关注 , 共4次带看 , 14天以前发布,1185,单价114637元/平米,东城,"116.406466,39.957716"
53,北竹杆胡同 2室1厅 800万,北竹杆胡同 , 2室1厅 , 76.76平米 ,11人关注 , 共3次带看 , 6天以前发布,800,单价104221元/平米,东城,"116.435282,39.929418"
54,北二环一一东城安定门一一复式结构经典房,京宝花园 , 2室1厅 , 162.24平米 ,15人关注 , 共35次带看 , 21天以前发布,1050,单价64719元/平米,东城,"116.414015,39.959857"
55,西向 两居室 视野好  商品房 高层,丽水湾畔家园 , 2室1厅 , 130平米 ,18人关注 , 共14次带看 , 1个月以前发布,1100,单价84616元/平米,东城,"116.449403,39.900818"
56,封闭式小区，商品房社区，观花园，只要契税,新景家园西区 , 2室1厅 , 92.75平米 ,29人关注 , 共27次带看 , 1个月以前发布,920,单价99192元/平米,东城,"116.428467,39.902511"
57,东革新里 40号院 南北 2居室 采光好,东革新里40号院 , 2室1厅 , 58.03平米 ,128人关注 , 共34次带看 , 1个月以前发布,395,单价68069元/平米,东城,"116.403511,39.872127"
58,民旺园2居室 户型好 视野好 不临街,民旺园 , 2室1厅 , 47.84平米 ,112人关注 , 共38次带看 , 4个月以前发布,550,单价114967元/平米,东城,"116.43343,39.958449"
59,二环内南北通透三居室、地铁房、,新景家园西区 , 3室1厅 , 91.06平米 ,108人关注 , 共25次带看 , 6个月以前发布,960,单价105425元/平米,东城,"116.428467,39.902511"
60,六铺炕 2室1厅 599万,六铺炕 , 2室1厅 , 50.34平米 ,123人关注 , 共48次带看 , 1个月以前发布,599,单价118991元/平米,东城,"116.400533,39.962226"
61,东大街小户型，推荐婚房，全天采光，无遮挡,崇文门东大街 , 1室1厅 , 40.2平米 ,20人关注 , 共11次带看 , 27天以前发布,460,单价114428元/平米,东城,"116.433321,39.906309"
62,法华南里 中间楼层  东向一居室 全明格局,法华南里 , 1室1厅 , 45.52平米 ,24人关注 , 共16次带看 , 22天以前发布,450,单价98858元/平米,东城,"116.434144,39.892211"
63,万国城MOMA 3室1厅 1590万,万国城MOMA , 3室1厅 , 140.06平米 ,15人关注 , 共2次带看 , 19天以前发布,1590,单价113523元/平米,东城,"116.444857,39.954789"
64,东直门民安小区全东向四居复式，满五年 安静舒适,民安小区东直门内北小街 , 4室2厅 , 142.18平米 ,34人关注 , 共3次带看 , 16天以前发布,1200,单价84401元/平米,东城,"116.432862,39.948968"
65,广渠门内大街 3室1厅 581万,广渠门内大街 , 3室1厅 , 70平米 ,8人关注 , 共3次带看 , 11天以前发布,581,单价83000元/平米,东城,"116.448316,39.900192"
66,民安小区东直门北中街 2室1厅 820万,民安小区东直门北中街 , 2室1厅 , 71.49平米 ,48人关注 , 共13次带看 , 12天以前发布,820,单价114702元/平米,东城,"116.435611,39.948432"
67,东城南北通透三居室 和平里四小划片,民旺园 , 3室1厅 , 66平米 ,46人关注 , 共8次带看 , 10天以前发布,718,单价108788元/平米,东城,"116.43343,39.958449"
68,九三学园 精装全明三居 南北通透楼龄新 满五税费少,小黄庄二区 , 3室1厅 , 72.39平米 ,53人关注 , 共7次带看 , 9天以前发布,700,单价96699元/平米,东城,"116.417993,39.970747"
69,地兴居 3室1厅 650万,地兴居 , 3室1厅 , 65.47平米 ,20人关注 , 共8次带看 , 8天以前发布,650,单价99283元/平米,东城,"116.407787,39.957288"
70,龙潭公园 两室一厅 满五年 楼层高 视野好,左安漪园 , 2室1厅 , 83.34平米 ,92人关注 , 共54次带看 , 7个月以前发布,780,单价93593元/平米,东城,"116.4471,39.879796"
71,东城区、免个税、大四居、高层观景房。,美惠大厦 , 4室2厅 , 253.03平米 ,15人关注 , 共25次带看 , 1个月以前发布,1650,单价65210元/平米,东城,"116.444157,39.935985"
72,中间楼层 西南北三居室 免个税,南水关 , 3室1厅 , 102.09平米 ,62人关注 , 共45次带看 , 3个月以前发布,900,单价88158元/平米,东城,"116.447436,39.897461"
73,万国城MOMA，方正户型，东向三居室,万国城MOMA , 3室2厅 , 158.29平米 ,22人关注 , 共32次带看 , 18天以前发布,1600,单价101081元/平米,东城,"116.444857,39.954789"
74, 地铁七号线  业主诚心出售  高楼层 视野好,金世纪嘉园 , 2室1厅 , 116.89平米 ,81人关注 , 共63次带看 , 3个月以前发布,950,单价81273元/平米,东城,"116.4515,39.904606"
75,绿景馨园 3室1厅 850万,绿景馨园 , 3室1厅 , 81.9平米 ,137人关注 , 共33次带看 , 1个月以前发布,850,单价103786元/平米,东城,"116.447756,39.896508"
76,满五年免个税 正规南北三居室 精装修,幸福南里 , 3室1厅 , 66平米 ,57人关注 , 共31次带看 , 3个月以前发布,680,单价103031元/平米,东城,"116.438842,39.89084"
77,南北通两居室，中高楼层，采光视野没有遮挡。,大方家胡同 , 2室1厅 , 76.42平米 ,65人关注 , 共32次带看 , 4个月以前发布,790,单价103377元/平米,东城,"116.435132,39.92546"
78,富贵园商品三居室 南北通透 满五年 有车位 带储藏室,富贵园一区 , 3室2厅 , 144.45平米 ,82人关注 , 共38次带看 , 1个月以前发布,1650,单价114227元/平米,东城,"116.440069,39.902423"
79,小黄庄一区+南北通透+满五年公房,小黄庄一区 , 2室1厅 , 59.01平米 ,38人关注 , 共65次带看 , 15天以前发布,620,单价105067元/平米,东城,"116.416187,39.969551"
80,阳照胡同 低楼层南北两居室 带租赁车位 独立小院,阳照胡同 , 2室1厅 , 60.06平米 ,9人关注 , 共0次带看 , 7天以前发布,450,单价74926元/平米,东城,"116.435212,39.919736"
81,培新小学，中高层，对花园，2008年商品房,北京上舍 , 1室0厅 , 61.2平米 ,40人关注 , 共82次带看 , 3个月以前发布,580,单价94772元/平米,东城,"116.442558,39.897106"
82,东中街 商品房 复式结构 史家实验小学  满五年,东中街 , 4室1厅 , 200.77平米 ,146人关注 , 共50次带看 , 2个月以前发布,1770,单价88161元/平米,东城,"116.443175,39.941889"
83,雍和家园 东南三居 采光好 视野好 交通便利,雍和家园一期 , 3室2厅 , 158.38平米 ,29人关注 , 共4次带看 , 27天以前发布,1620,单价102286元/平米,东城,"116.426255,39.956607"
84,商品房大复式户型方正，地下温泉入户,花市枣苑一期 , 3室2厅 , 189.41平米 ,19人关注 , 共18次带看 , 一年前发布,1800,单价95032元/平米,东城,"116.435751,39.902151"
85,兴化西里南北三居，满五年税费少，诚心出售,兴化西里 , 3室1厅 , 71.68平米 ,59人关注 , 共14次带看 , 1个月以前发布,438,单价61105元/平米,东城,"116.417203,39.966191"
86,新上花市枣苑 西北对花园两居 精装修,花市枣苑三期 , 2室2厅 , 102.02平米 ,23人关注 , 共27次带看 , 2个月以前发布,1100,单价107822元/平米,东城,"116.435751,39.902151"
87,满五年住房 精装修可以直接入住 室内3米挑高,东直门内大街 , 2室2厅 , 80.52平米 ,197人关注 , 共36次带看 , 2个月以前发布,880,单价109290元/平米,东城,"116.435511,39.946194"
88,大复式  阳光房  精装修  景山学校,民安小区民安街 , 3室2厅 , 110.16平米 ,52人关注 , 共13次带看 , 1个月以前发布,1380,单价125273元/平米,东城,"116.437676,39.950331"
89,史家小学 满五年 小两居  电梯楼高层  金宝街上,朝阳门南小街 , 2室1厅 , 63.76平米 ,90人关注 , 共26次带看 , 2个月以前发布,760,单价119197元/平米,东城,"116.433451,39.923705"
90,灯市口，东单，邻近协和医院，中间楼层，东南向三居室,西总布胡同55号院 , 3室1厅 , 66.58平米 ,90人关注 , 共24次带看 , 4个月以前发布,750,单价112647元/平米,东城,"116.426157,39.918525"
91,东城区 悠胜美苑  45平复式 三居室 看房方便 随时签约,悠胜美苑 , 1室1厅 , 44.31平米 ,31人关注 , 共10次带看 , 24天以前发布,550,单价124126元/平米,东城,"116.400105,39.869503"
92,新世界家园 3室2厅 1580万,新世界家园 , 3室2厅 , 129.63平米 ,11人关注 , 共9次带看 , 27天以前发布,1580,单价121886元/平米,东城,"116.423741,39.90101"
93,海晟名苑 2室1厅 1430万,海晟名苑 , 2室1厅 , 119.37平米 ,8人关注 , 共8次带看 , 20天以前发布,1430,单价119796元/平米,东城,"116.447783,39.94387"
94,新怡家园 南向一居室 高楼层 采光充足,新怡家园 , 1室1厅 , 83.69平米 ,14人关注 , 共12次带看 , 18天以前发布,1150,单价137412元/平米,东城,"116.421081,39.904828"
95,金世纪嘉园 西南北一居  无遮挡,金世纪嘉园 , 1室1厅 , 66.91平米 ,21人关注 , 共9次带看 , 21天以前发布,590,单价88179元/平米,东城,"116.4515,39.904606"
96,安外大街 2室1厅 560万,安外大街 , 2室1厅 , 68.23平米 ,33人关注 , 共18次带看 , 20天以前发布,560,单价82076元/平米,东城,"116.414549,39.97239"
97,国瑞城中区 紧靠商品房小区 西北两居室,国瑞城中区 , 2室1厅 , 84.06平米 ,3人关注 , 共14次带看 , 19天以前发布,810,单价96360元/平米,东城,"116.429352,39.904538"
98,东环居苑 1室1厅 620万,东环居苑 , 1室1厅 , 65.08平米 ,28人关注 , 共15次带看 , 17天以前发布,620,单价95268元/平米,东城,"116.45208,39.904622"
99,远洋德邑 1室1厅 600万,远洋德邑 , 1室1厅 , 60.36平米 ,50人关注 , 共6次带看 , 17天以前发布,600,单价99404元/平米,东城,"116.452901,39.901073"
100,景山学校划片 全南向复式可改三居 满五年 精装修,东直门内大街 , 2室2厅 , 110.1平米 ,21人关注 , 共9次带看 , 17天以前发布,1250,单价113534元/平米,东城,"116.435511,39.946194"
101,满五年北京家庭只有这一套房子，高楼层无遮挡，精装修,永定门东街中里 , 2室0厅 , 49.35平米 ,114人关注 , 共10次带看 , 26天以前发布,385,单价78015元/平米,东城,"116.41449,39.879802"
102,桃园南街10号院 2室1厅 460万,桃园南街10号院 , 2室1厅 , 61.66平米 ,48人关注 , 共6次带看 , 16天以前发布,460,单价74603元/平米,东城,"116.407316,39.876396"
103,东直门华冠丽景 南通通透三居 交通便利 ,华冠丽景 , 3室2厅 , 144.75平米 ,40人关注 , 共5次带看 , 14天以前发布,1875,单价129534元/平米,东城,"116.432937,39.951953"
104,上龙西里 1室1厅 700万,上龙西里 , 1室1厅 , 54.96平米 ,10人关注 , 共2次带看 , 7天以前发布,700,单价127366元/平米,东城,"116.412788,39.958761"
105,西营房 3室1厅 850万,西营房 , 3室1厅 , 102.41平米 ,48人关注 , 共1次带看 , 10天以前发布,850,单价83000元/平米,东城,"116.409688,39.958188"
106,富贵园一区 1室1厅 720万,富贵园一区 , 1室1厅 , 63.18平米 ,16人关注 , 共2次带看 , 9天以前发布,720,单价113961元/平米,东城,"116.440069,39.902423"
107,东直门    东中街   南北两居室 低楼层,东中街 , 2室1厅 , 68.27平米 ,15人关注 , 共3次带看 , 8天以前发布,800,单价117182元/平米,东城,"116.443175,39.941889"
108,和平里一区 2室1厅 490万,和平里一区 , 2室1厅 , 43.63平米 ,32人关注 , 共3次带看 , 4天以前发布,490,单价112309元/平米,东城,"116.426526,39.964952"
109,景泰嘉园 3室1厅 740万,景泰嘉园 , 3室1厅 , 108.75平米 ,42人关注 , 共1次带看 , 8天以前发布,740,单价68046元/平米,东城,"116.419009,39.87095"
110,花市枣苑三期 1室0厅 530万,花市枣苑三期 , 1室0厅 , 45.53平米 ,30人关注 , 共27次带看 , 3个月以前发布,530,单价116407元/平米,东城,"116.435751,39.902151"
111,东堂子胡同 3室0厅 600万,东堂子胡同 , 3室0厅 , 65.67平米 ,68人关注 , 共51次带看 , 30天以前发布,600,单价91366元/平米,东城,"116.430787,39.920829"
112,东直门民安小区西向两居室复式可改三居,民安小区东羊管胡同 , 2室2厅 , 109.01平米 ,33人关注 , 共55次带看 , 18天以前发布,1100,单价100909元/平米,东城,"116.437841,39.948704"
113,左安浦园 2室1厅 575万,左安浦园 , 2室1厅 , 82.29平米 ,228人关注 , 共40次带看 , 8个月以前发布,575,单价69875元/平米,东城,"116.444673,39.880008"
114,交通便利 南向 高层两居 无遮挡 采光好,西营房 , 2室1厅 , 86.2平米 ,174人关注 , 共31次带看 , 2个月以前发布,830,单价96288元/平米,东城,"116.409688,39.958188"
115,文汇小学 南北通透 格局方正 双卫设计,京城仁合 , 2室2厅 , 114.51平米 ,85人关注 , 共42次带看 , 3个月以前发布,1100,单价96062元/平米,东城,"116.44905,39.903129"
116,东城区房源 西南向三居 两间卧室朝南户型好,建予园 , 3室1厅 , 111.99平米 ,255人关注 , 共55次带看 , 5个月以前发布,670,单价59827元/平米,东城,"116.402567,39.869745"
117,人定湖公园=塔楼24小时电梯=小区安静人员素质高,安德里北街25号院 , 3室1厅 , 81.9平米 ,114人关注 , 共48次带看 , 6个月以前发布,820,单价100123元/平米,东城,"116.394978,39.963326"
118,东华门大街 东西通透 全明格局两居室,东华门大街 , 2室1厅 , 60.3平米 ,137人关注 , 共26次带看 , 1个月以前发布,640,单价106136元/平米,东城,"116.411331,39.92122"
119,金鱼池下跃四居 天坛商圈 有车位 精装自住诚售,金鱼池西区 , 4室2厅 , 117平米 ,229人关注 , 共23次带看 , 3个月以前发布,878,单价75043元/平米,东城,"116.413838,39.895714"
120,富贵园四区 3室2厅 1550万,富贵园四区 , 3室2厅 , 140.55平米 ,41人关注 , 共26次带看 , 1个月以前发布,1550,单价110282元/平米,东城,"116.441193,39.900437"
121,和平里七区 1室1厅 490万,和平里七区 , 1室1厅 , 42.5平米 ,46人关注 , 共15次带看 , 10天以前发布,490,单价115295元/平米,东城,"116.427853,39.966824"
122,东直门十字坡西里，双南向高层小两居,十字坡西里 , 2室1厅 , 53.05平米 ,17人关注 , 共6次带看 , 10天以前发布,583,单价109897元/平米,东城,"116.443423,39.945679"
123,当代万国城  南北通透三居  私梯入户,万国城MOMA , 3室2厅 , 225.04平米 ,42人关注 , 共18次带看 , 2个月以前发布,2470,单价109759元/平米,东城,"116.444857,39.954789"
124,商品房社区西北小两居带产权车位,本家润园一期 , 2室1厅 , 83.05平米 ,86人关注 , 共65次带看 , 4个月以前发布,945,单价113787元/平米,东城,"116.443355,39.90268"
125,南北通透三居室，满五年，家庭仅此一套 明厨明卫,富贵园一区 , 3室2厅 , 161.16平米 ,26人关注 , 共15次带看 , 2个月以前发布,1900,单价117896元/平米,东城,"116.440069,39.902423"
126,光明楼南北通透两居 采光充足 户型方正,光明楼 , 2室1厅 , 64.8平米 ,171人关注 , 共38次带看 , 3个月以前发布,513,单价79167元/平米,东城,"116.444721,39.890475"
127,东城区东南朝向两居 业主自住 诚意出售,建予园 , 2室1厅 , 77.79平米 ,184人关注 , 共62次带看 , 4个月以前发布,510,单价65562元/平米,东城,"116.402567,39.869745"
128,和平里七区 南北通透 中间楼层 采光好无遮挡,和平里七区 , 2室1厅 , 60.59平米 ,126人关注 , 共52次带看 , 2个月以前发布,600,单价99027元/平米,东城,"116.427853,39.966824"
129,南北通透四居复式，客厅宽敞明亮，业主诚心出售,南弓匠营胡同 , 4室2厅 , 116.37平米 ,59人关注 , 共14次带看 , 28天以前发布,1300,单价111713元/平米,东城,"116.434583,39.931714"
130,枣苑商品房西北三居，满五年低税费，崇文小学,花市枣苑一期 , 3室2厅 , 135.72平米 ,22人关注 , 共6次带看 , 7个月以前发布,1250,单价92102元/平米,东城,"116.435751,39.902151"
131,金世纪嘉园小区，西南两居室，楼层好，无遮挡,金世纪嘉园 , 2室2厅 , 112平米 ,138人关注 , 共38次带看 , 4个月以前发布,920,单价82143元/平米,东城,"116.4515,39.904606"
132,和平里二区 东向两居室 有地下停车位 ,和平里二区 , 2室1厅 , 90.16平米 ,164人关注 , 共36次带看 , 2个月以前发布,836,单价92725元/平米,东城,"116.429963,39.963815"
133,民安小区  景山北校 东西通透两居室 带电梯 交通方便,民安小区东直门北中街 , 2室1厅 , 77.97平米 ,102人关注 , 共18次带看 , 1个月以前发布,735,单价94268元/平米,东城,"116.435611,39.948432"
134,冠城名敦道 西南向大开间  光明小学 地铁7号线,冠城名敦道 , 1室0厅 , 83.36平米 ,245人关注 , 共54次带看 , 8个月以前发布,565,单价67779元/平米,东城,"116.453086,39.898397"
135,富贵园一区 3室2厅 1580万,富贵园一区 , 3室2厅 , 141.54平米 ,56人关注 , 共19次带看 , 1个月以前发布,1580,单价111630元/平米,东城,"116.440069,39.902423"
136,林业局央产房 提前联系 随时可看 产权清晰 随时可签约,和平里七区 , 3室1厅 , 88.67平米 ,44人关注 , 共17次带看 , 1个月以前发布,931,单价104997元/平米,东城,"116.427853,39.966824"
137,安定门宝钞苑社区 电梯直达南北三居室 卫生间带窗户,宝钞苑 , 3室2厅 , 197平米 ,80人关注 , 共19次带看 , 1个月以前发布,1960,单价99493元/平米,东城,"116.405364,39.954234"
138,东西通透两居室  配套齐全 满五年 税费少  采光好,朗家胡同13号院 , 2室1厅 , 54.5平米 ,15人关注 , 共7次带看 , 1个月以前发布,600,单价110092元/平米,东城,"116.408184,39.953334"
139,东环居苑正规南向一居室+户型方正+精装修+采光充足,东环居苑 , 1室1厅 , 62.35平米 ,51人关注 , 共15次带看 , 1个月以前发布,620,单价99439元/平米,东城,"116.45208,39.904622"
140,海运仓小区 板楼南北通透2居 优质2居中间楼层  ,海运仓小区 , 2室1厅 , 64.82平米 ,278人关注 , 共34次带看 , 1个月以前发布,700,单价107992元/平米,东城,"116.435055,39.941656"
141,世纪大厦 2室1厅 510万,世纪大厦 , 2室1厅 , 100.38平米 ,70人关注 , 共14次带看 , 1个月以前发布,510,单价50807元/平米,东城,"116.417107,39.925266"
